,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords,,,,,,,,,,
142,A Machine Learning Approach for 5G SINR Prediction,"Ullah, Ruzat and Marwat, Safdar N. and Ahmad, Arbab M. and Ahmed, Salman and Hafeez, Abdul and Kamal, Tariq and Tufail, Muhammad",Electronics,2079-9292,9,10,,2020,,https://www.mdpi.com/2079-9292/9/10/1660,"Artificial Intelligence (AI) and Machine Learning (ML) are envisaged to play key roles in 5G networks. Efficient radio resource management is of paramount importance for network operators. With the advent of newer technologies, infrastructure, and plans, spending significant radio resources on estimating channel conditions in mobile networks poses a challenge. Automating the process of predicting channel conditions can efficiently utilize resources. To this point, we propose an ML-based technique, i.e., an Artificial Neural Network (ANN) for predicting SINR (Signal-to-Interference-and-Noise-Ratio) in order to mitigate the radio resource usage in mobile networks. Radio resource scheduling is generally achieved on the basis of estimated channel conditions, i.e., SINR with the help of Sounding Reference Signals (SRS). The proposed Non-Linear Auto Regressive External/Exogenous (NARX)-based ANN aims to minimize the rate of sending SRS and achieves an accuracy of R = 0.87. This can lead to vacating up to 4% of the spectrum, improving bandwidth efficiency and decreasing uplink power consumption.",,10.3390/electronics9101660,"5G , Machine learning , Artificial intelligence , Sounding reference signals , Signal-to-Interference-and-Noise-Ratio , Learning ,   ,   ,  ",,,,,,,,,,
143,Micro-Safe: Microservices- and Deep Learning-Based Safety-as-a-Service Architecture for 6G-Enabled Intelligent Transportation System,"Chandana Roy , Ruelia Saha , Sudip Misra , Kapal Dev ",IEEE Transactions on Intelligent Transportation Systems,1558-0016,23,7,,2022,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9548710,"In this paper, we propose a microservices and deep learning-based scheme, termed as Micro-Safe, for provisioning Safety-as-a-Service (Safe-aaS) in a 6G environment. A Safe-aaS infrastructure provides customized safety-related decisions dynamically to the registered end-users. As the decisions are time-sensitive in nature, the generation of these decisions should incur minimum latency and high accuracy. Further, scalability and extension of the coverage of the entire Safe-aaS platform are also necessary. Considering road transportation as the application scenario, we propose Safe-aaS, which is a microservices- and deep learning-based platform for provisioning ultra-low latency safety services to the end-users in a 6G scenario. We design the proposed solution in two stages. In the first stage, we develop the microservices-enabled application layer to improve the scalability and adaptability of the traditional Safe-aaS platform. Moreover, we apply the state space model to represent the decision parameters requested and the decision delivered to the end-users. During the second stage, we use deep learning models to improve the accuracy in the decisions delivered to the end-users. Additionally, we apply an assortment of activation functions to analyze and compare the accuracy of the decisions generated in the proposed scheme. Extensive simulation of our proposed scheme, Micro-Safe, demonstrates that latency is improved by 26.1 – 31.2%, energy consumption is reduced by 22.1 – 29.9%, throughput is increased by 26.1 – 31.7%, compared to the existing schemes.",,10.1109/TITS.2021.3110725,"6G mobile communication , Safety , Deep learning , Scalability , Delays , Cloud computing , Throughput ",,,,,,,,,,
144,Reconfigurable Architecture of UFMC Transmitter for 5G and Its FPGA Prototype,"Vikas Kumar , Mithun Mukherjee , Jaime Lloret ",IEEE Systems Journal,2373-7816,14,1,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8771165,"A universal-filtered multicarrier (UFMC) system that is a generalization of filtered orthogonal frequency-division multiplexing (OFDM) and filter-bank-based multicarrier is being considered as a potential candidate for fifth-generation due to its robustness against intercarrier interference as in cyclic-prefix-based OFDM systems. However, real-time hardware realization of multicarrier systems is limited by a large number of arithmetic units for inverse fast Fourier transform and pulse-shaping filters. In this paper, we aim to propose a low-complexity and reconfigurable architecture for a baseband UFMC transmitter. To the best of our knowledge, the proposed architecture is the first reconfigurable architecture that has the flexibility to choose the number of subcarriers in a subband without any change in hardware resources. In addition, the proposed architecture selects the filter from a group of filters with a single selection line. Moreover, we use a commercially available field-programmable gate array device for real-time testing and analyzing the baseband UFMC signal. From the extensive experiments, we study the occupied bandwidth, main-lobe power, and sidelobe power of the baseband signal with different filters in real-time scenarios. Finally, we measure the quantization error in baseband signal generation for the proposed UFMC transmitter architecture and find comparable with the error bound.",,10.1109/JSYST.2019.2923549,"Transmitters , Baseband , Computer architecture , Real-time systems , 5G mobile communication , Field programmable gate arrays , Hardware ",,,,,,,,,,
145,vFPGAmanager: A Virtualization Framework for Orchestrated FPGA Accelerator Sharing in 5G Cloud Environments,"Sébastien Pinneterre , Spyros Chiotakis , Michele Paolino , Daniel Raho ",2018 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),2155-5052,,,,2018,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8436930,"Network operators are actively pushing towards the new 5G era and a crucial part to accomplish this is the Network Functions Virtualization (NFV). FPGAs and their hardware accelerators are a promising solution for NFV and 5G cloud environments because of their fast turnaround time and great speedup potential through application parallelism mapping on the reconfigurable fabric. Recently, consolidation reached a plateau in this field with lightweight virtualization techniques, that require a high overcommitment of FPGA accelerator resources to cope with numerous demands of guests. Although FPGAs can play an important role for the future 5G networks their capability to manage and control them from the upper layers of the software stack is inadequate. The lack of such support coupled with cloud integration and programmability issues can repel potential providers from utilizing FPGAs at their data centers. This paper presents the communication mechanism of the vFPGAmanager, an FPGA virtualization framework which can be orchestrated, monitored and enables accelerators overcommitment with direct guest access. These are key features to allow potential adopters of FPGA technology to include them in the next generation of NFV systems. The communication mechanism architecture is detailed and then benchmarked to show that even under heavy load on the system it demonstrates a minimal overhead to orchestrate and monitor the FPGA as a resource.",,10.1109/BMSB.2018.8436930,"Field programmable gate arrays , Virtualization , Context , Cloud computing , Registers , Acceleration ",,,,,,,,,,
146,A Waveform Parameter Assignment Framework for 6G With the Role of Machine Learning,"Ahmet Yazar , Hüseyin Arslan ",IEEE Open Journal of Vehicular Technology,2644-1330,1,,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9086145,"5G enables a wide variety of wireless communications applications and use cases. There are different requirements associated with the applications, use cases, channel structure, network and user. To meet all of the requirements, several new configurable parameters are defined in 5G New Radio (NR). It is possible that 6G will have even higher number of configurable parameters based on new potential conditions. In line with this trend, configurable waveform parameters are also varied and this variation will increase in 6G considering the potential future necessities. In this paper, association of users and possible configurable waveform parameters in a cell is discussed for 6G communication systems. An assignment framework of configurable waveform parameters with different types of resource allocation optimization mechanisms is proposed. Most of all, the role and usage of machine learning (ML) in this framework is described. A case study with a simulation based dataset generation methodology is also presented.",,10.1109/OJVT.2020.2992502,"6G mobile communication , 5G mobile communication , Optimization , Resource management , Machine learning , Lattices ",,,,,,,,,,
147,5G Joint Artificial Intelligence Technology in the Innovation and Reform of University English Education,"Sun, Xia and Zhang, Yuanpeng",Wireless Communications and Mobile Computing,1530-8669,2021,,4892064,2021,Hindawi,https://doi.org/10.1155/2021/4892064,"This paper considers the issue of human subjectivity in the system of &#x201C;5G&#x2009;+&#x2009;AI+Education&#x201D; from the perspective of, on the one hand, the real need for the problems that gradually emerge in the new round of development and application of artificial intelligence, and a philosophical reflection on the application of artificial intelligence in specific fields, on the other hand. It is also a further examination of the issue of human subjectivity in the new context. On the other hand, it is also a further examination of the issue of human subjectivity in the new context of the times, which can also provide students with an immersive learning environment, and AI artificial intelligence and hologram technology can enhance students&#x2019; motivation. This paper shows the specific steps and implementation measures of &#x201C;5G&#x201D; technology into online oral teaching and provides a case study design to explore the new online oral teaching model, summarizing the advantages and proposing solutions to the shortcomings. The system visualizes each step of gesture recognition to facilitate students&#x2019; understanding. Students can experience the process of gesture recognition according to the guidance of the interactive interface, and then, the complex and abstract gesture recognition process is explained with a figurative example, which is conducive to primary and secondary school students&#x2019; deeper understanding and improved logical thinking. This will help primary and secondary school students to have a deeper understanding and improve their logical thinking skills. Finally, a comparison experiment is designed to verify the effectiveness of using this system to learn AI knowledge compared with traditional learning methods. The experimental results are analyzed to prove that using this system to learn AI knowledge is effective and helps improve users&#x2019; interest in learning and hands-on ability.",,10.1155/2021/4892064,"5G , Artificial intelligence , Education , Gesture recognition , Intelligence ,   ,   ,   ,  ",,,,,,,,,,
148,An FPGA-Oriented Baseband Modulator Architecture for 4G/5G Communication Scenarios,"Lopes Ferreira, Mário and Canas Ferreira, João",Electronics,2079-9292,8,1,,2019,,https://www.mdpi.com/384148,"The next evolution in cellular communications will not only improve upon the performance of previous generations, but also represent an unparalleled expansion in the number of services and use cases. One of the foundations for this evolution is the design of highly flexible, versatile, and resource-/power-efficient hardware components. This paper proposes and evaluates an FPGA-oriented baseband processing architecture suitable for communication scenarios such as non-contiguous carrier aggregation, centralized Cloud Radio Access Network (C-RAN) processing, and 4G/5G waveform coexistence. Our system is upgradeable, resource-efficient, cost-effective, and provides support for three 5G waveform candidates. Exploring Dynamic Partial Reconfiguration (DPR), the proposed architecture expands the design space exploration beyond the available hardware resources on the Zynq xc7z020 through hardware virtualization. Additionally, Dynamic Frequency Scaling (DFS) allows for run-time adjustment of processing throughput and reduces power consumption up to 88%. The resource overhead for DPR and DFS is residual, and the reconfiguration latency is two orders of magnitude below the control plane latency requirements proposed for 5G communications.",,10.3390/electronics8010002,"Reconfigurable hardware , FPGA , Dynamic partial reconfiguration , Baseband processing , Carrier aggregation , 4G/5G coexistence , Cloud-RAN ,   ,  ",,,,,,,,,,
149,Architecture of FPGA based channel coding for 5G wireless network using high-level synthesis,,,,,,,,,,,,,,,,,,,,,,,
150,"Machine learning for 5G security: Architecture, recent advances, and challenges","Afaq, Amir and Haider, Noman and Baig, Muhammad Zeeshan and Khan, Komal S. and Imran, Muhammad and Razzak, Imran",Ad Hoc Networks,1570-8705,123,,102667,2021,,https://www.sciencedirect.com/science/article/pii/S1570870521001785,"The granularization of crucial network functions implementation using software-centric, and virtualized approaches in 5G networks have brought forth unprecedented security challenges in general and privacy concerns. Moreover, these software components’ premature deployment and compromised supply chain put the individual network components at risk and have a ripple effect for the rest of the network. Some of the novel threats to 5G assets include tampering in identity and access management, supply-chain poisoning, masquerade and bot attacks, loop-holes in source codes. Machine learning (ML) in this context can help to provide heavily dynamic and robust security mechanisms for the software-centric architecture of 5G Networks. ML models’ development and implementation also rely on programmable environments; hence, they can play a vital role in designing, modelling, and automating efficient security protocols. This article presents the threat landscape across 5G networks and discusses the feasibility and architecture of different ML-based models to counter these threats. Also, we present the architecture for automated threat intelligence using cooperative and coordinated ML to secure 5G assets and infrastructure. We also present the summary of closely related existing works along with future research challenges.",,https://doi.org/10.1016/j.adhoc.2021.102667,"5G network security , Threat landscape , Vulnerabilities , Threat intelligence , Machine learning , Federated learning , Threat classification , Learning ,  ",,,,,,,,,,
151,Machine Learning for Intelligent-Reflecting-Surface-Based Wireless Communication towards 6G: A Review,"Sejan, Mohammad A. and Rahman, Md H. and Shin, Beom-Sik and Oh, Ji-Hye and You, Young-Hwan and Song, Hyoung-Kyu",Sensors,1424-8220,22,14,,2022,,https://www.mdpi.com/1424-8220/22/14/5405,"An intelligent reflecting surface (IRS) is a programmable device that can be used to control electromagnetic waves propagation by changing the electric and magnetic properties of its surface. Therefore, IRS is considered a smart technology for the sixth generation (6G) of communication networks. In addition, machine learning (ML) techniques are now widely adopted in wireless communication as the computation power of devices has increased. As it is an emerging topic, we provide a comprehensive overview of the state-of-the-art on ML, especially on deep learning (DL)-based IRS-enhanced communication. We focus on their operating principles, channel estimation (CE), and the applications of machine learning to IRS-enhanced wireless networks. In addition, we systematically survey existing designs for IRS-enhanced wireless networks. Furthermore, we identify major issues and research opportunities associated with the integration of IRS and other emerging technologies for applications to next-generation wireless communication.",,10.3390/s22145405,"Intelligent reflecting surfaces (IRSs) , Machine learning , Multiple input multiple output , Wireless networks , Intelligence ,   ,   ,   ,  ",,,,,,,,,,
152,Security concerns on machine learning solutions for 6G networks in mmWave beam prediction,"Catak, Ferhat Ozgur and Kuzlu, Murat and Catak, Evren and Cali, Umit and Unal, Devrim",Physical Communication,1874-4907,52,,101626,2022,,https://www.sciencedirect.com/science/article/pii/S1874490722000155,"6G – sixth generation – is the latest cellular technology currently under development for wireless communication systems. In recent years, machine learning (ML) algorithms have been applied widely in various fields, such as healthcare, transportation, energy, autonomous cars, and many more. Those algorithms have also been used in communication technologies to improve the system performance in terms of frequency spectrum usage, latency, and security. With the rapid developments of ML techniques, especially deep learning (DL), it is critical to consider the security concern when applying the algorithms. While ML algorithms offer significant advantages for 6G networks, security concerns on artificial intelligence (AI) models are typically ignored by the scientific community so far. However, security is also a vital part of AI algorithms because attackers can poison the AI model itself. This paper proposes a mitigation method for adversarial attacks against proposed 6G ML models for the millimeter-wave (mmWave) beam prediction using adversarial training. The main idea behind generating adversarial attacks against ML models is to produce faulty results by manipulating trained DL models for 6G applications for mmWave beam prediction. We also present a proposed adversarial learning mitigation method’s performance for 6G security in mmWave beam prediction application a fast gradient sign method attack. The results show that the defended model under attack’s mean square errors (i.e., the prediction accuracy) are very close to the undefended model without attack.",,https://doi.org/10.1016/j.phycom.2022.101626,"Machine learning , AI , Millimeter-wave (mmWave) , Beamforming , Adversarial machine learning , 6G , Deep learning , Learning ,  ",,,,,,,,,,
153,A Programmable and FPGA-accelerated GTP Offloading Engine for Mobile Edge Computing in 5G Networks,"Chung-An Shen , Ding-Yuan Lee , Chung-An Ku , Meng-Wei Lin , Kuo-Cheng Lu , Shao-Yu Tan ",IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8845143,"This poster presents a programmable and FPGA-accelerated packet processing engine, performing the encapsulation and decapsulation of GPRS Tunneling Protocol (GTP) packets, for Mobile Edge Computing in 5G Networks. The proposed engine is designed by using the P4 language and is implemented to the FPGA platform by using the Xilinx SDNet tool. The implemented system is practically realized on the Xilinx FPGA platform and the detailed architecture is presented. The experimental results show that targeted throughput of 10Gbps per port is achieved given the packet-processing latency of 5μs.",,10.1109/INFCOMW.2019.8845143,,,,,,,,,,,
154,Efficient and reliable hybrid deep learning-enabled model for congestion control in 5G/6G networks,"Khan, Sulaiman and Hussain, Anwar and Nazir, Shah and Khan, Fazlullah and Oad, Ammar and Alshehri, Mohammad Dahman",Computer Communications,0140-3664,182,,31-40,2022,,https://www.sciencedirect.com/science/article/pii/S0140366421004217,"Future generation networks such as millimeter-wave LAN, broadband wireless access systems, and 5th or 6th generation (5G/6G) networks demand more security, low latency with more reliable standards and communication capacity. Efficient congestion control is considered one of the key elements of 5G/6G technology that allows the operators to run various network instances using a single infrastructure for a better quality of services. Artificial intelligence (AI) and machine learning (ML) are playing an essential role in reconfiguring and optimizing the performance of a 5G/6G wireless network due to a vast amount of data. A smart decision-making mechanism is required for the incoming network traffic to ensure load balancing, restrict network slice failure and provide alternate slices in case of slice failure or overloading. To circumvent these issues, a hybrid deep learning-enabled efficient congestion control mechanism is proposed in this paper. This hybrid deep learning model consists of long short term memory (LSTM) and support vector machine (SVM). The applicability of the proposed model is validated by simulating for one week using multiple unknown devices, slice failure conditions, and overloading conditions. An overall accuracy rate of 93.23% is calculated for the proposed hybrid model that reflects the applicability. Apart from this, other performance metrics such as specificity, recall, time consumption, varying training, test sets, true-false rates, and f-score were used for the performance evaluation purposes of the proposed model.",,https://doi.org/10.1016/j.comcom.2021.11.001,"Network slicing , 5G/6G network , Hybrid deep learning model , Machine learning-based reconfigurable wireless network , LSTM ,   ,   ,   ,  ",,,,,,,,,,
155,Deep learning-driven opportunistic spectrum access (OSA) framework for cognitive 5G and beyond 5G (B5G) networks,"Ahmed, Ramsha and Chen, Yueyun and Hassan, Bilal",Ad Hoc Networks,1570-8705,123,,102632,2021,,https://www.sciencedirect.com/science/article/pii/S1570870521001529,"The evolving 5G and beyond 5G (B5G) wireless technologies are envisioned to provide ubiquitous connectivity and great heterogeneity in communication infrastructure by connecting diverse devices and providing multifarious services. Recently, the Internet of Things (IoT) and unmanned aerial vehicles (UAVs) are realized as an essential component of the upcoming 5G/B5G networks, enabling enhanced communication capacity, high reliability, low latency, and massive connectivity. However, one limiting factor in the expansion of 5G/B5G technology is the finite radio spectrum, which necessitates managing the anticipated spectrum crunch for future wireless networks. One potential solution is to develop intelligent cognitive methods to dynamically optimize the use of spectrum in 5G/B5G networks to solve the imminent problem of spectrum congestion and improve radio efficiency. This paper addresses the opportunistic spectrum access (OSA) problem in the 5G/B5G cognitive radio (CR) network of IoTs and UAVs through the novel deep learning-based detector, dubbed as Deep-CRNet. The proposed detector employs residual connections with cascaded multi-kernel convolutions to identify the primary user (PU) spectrum usage by extracting the inherent multi-scale signal and noise features in the sensed transmission patterns. Thereby, Deep-CRNet intelligently learns and locates the spectrum holes so that secondary users (SUs) and PUs can dynamically share network spectrum resources. The efficacy of Deep-CRNet is validated through simulation results, where it achieved 99.74% accuracy with 99.65% precision and 99.83% recall in accurately classifying the PU status. In addition, the average correct detection probability of Deep-CRNet in the low signal-to-noise ratio (−20 dB to −15 dB) range is 38.21% higher than the second best-performing detector.",,https://doi.org/10.1016/j.adhoc.2021.102632,"Deep learning , Cognitive radio (CR) , Spectrum sensing , Opportunistic spectrum access (OSA) , 5G/B5G wireless networks , Cognition ,   ,   ,  ",,,,,,,,,,
156,Intrusion Detection System on IoT with 5G Network Using Deep Learning,"Yadav, Neha and Pande, Sagar and Khamparia, Aditya and Gupta, Deepak and Gomez, Carles",Wireless Communications and Mobile Computing,1530-8669,2022,,9304689,2022,Hindawi,https://doi.org/10.1155/2022/9304689,"The Internet of Things (IoT) cyberattacks of fully integrated servers, applications, and communications networks are increasing at exponential speed. As problems caused by the Internet of Things network remain undetected for longer periods, the efficiency of sensitive devices harms end users, increases cyber threats and identity misuses, increases costs, and affects revenue. For productive safety and security, Internet of Things interface assaults must be observed nearly in real time. In this paper, a smart intrusion detection system suited to detect Internet of Things-based attacks is implemented. In particular, to detect malicious Internet of Things network traffic, a deep learning algorithm has been used. The identity solution ensures the security of operation and supports the Internet of Things connectivity protocols to interoperate. An intrusion detection system (IDS) is one of the popular types of network security technology that is used to secure the network. According to our experimental results, the proposed architecture for intrusion detection will easily recognize real global intruders. The use of a neural network to detect attacks works exceptionally well. In addition, there is an increasing focus on providing user-centric cybersecurity solutions, which necessitate the collection, processing, and analysis of massive amounts of data traffic and network connections in 5G networks. After testing, the autoencoder model, which effectively reduces detection time as well as effectively improves detection precision, has outperformed. Using the proposed technique, 99.76&#x0025; of accuracy was achieved.",,10.1155/2022/9304689,"Intrusion detection , IoT , 5G , Deep learning , Learning ,   ,   ,   ,  ",,,,,,,,,,
157,Authentication and Resource Allocation Strategies during Handoff for 5G IoVs Using Deep Learning,"Hemavathi and Akhila, Sreenatha R. and Alotaibi, Youseef and Khalaf, Osamah I. and Alghamdi, Saleh",Energies,1996-1073,15,6,,2022,,https://www.mdpi.com/1996-1073/15/6/2006,"One of the most sought-after applications of cellular technology is transforming a vehicle into a device that can connect with the outside world, similar to smartphones. This connectivity is changing the automotive world. With the speedy growth and densification of vehicles in Internet of Vehicles (IoV) technology, the need for consistency in communication amongst vehicles becomes more significant. This technology needs to be scalable, secure, and flexible when connecting products and services. 5G technology, with its incredible speed, is expected to power the future of vehicular networks. Owing to high mobility and constant change in the topology, cooperative intelligent transport systems ensure real time connectivity between vehicles. For ensuring a seamless connectivity amongst the entities in vehicular networks, a significant alternative to design is support of handoff. This paper proposes a scheme for the best Road Side Unit (RSU) selection during handoff. Authentication and security of the vehicles are ensured using the Deep Sparse Stacked Autoencoder Network (DS2AN) algorithm, developed using a deep learning model. Once authenticated, resource allocation by RSU to the vehicle is accomplished through Deep-Q learning (DQL) techniques. Compared with the existing handoff schemes, Reinforcement Learning based on the MDP (RL-MDP) has been found to have a 13% lesser decision delay for selecting the best RSU. A higher level of security and minimum time requirement for authentication is achieved using DS2AN. The proposed system simulation results demonstrate that it ensures reliable packet delivery, significantly improving system throughput, upholding tolerable delay levels during a change of RSUs.",,10.3390/en15062006,"Deep-Q learning , RSU , URLLC , DSRC , E2E delay , IoV , Markov decision process , authentication , Resource Allocation",,,,,,,,,,
158,Machine Learning Assisted Security Analysis of 5G-Network-Connected Systems,"Tanujay Saha , Najwa Aaraj , Niraj K. Jha ",IEEE Transactions on Emerging Topics in Computing,2376-4562,10,4,,2022,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9701880,"The core network architecture of telecommunication systems has undergone a paradigm shift in the fifth-generation (5G) networks. 5G networks have transitioned to software-defined infrastructures, thereby reducing their dependence on hardware-based network functions. New technologies, like network function virtualization and software-defined networking, have been incorporated in the 5G core network (5GCN) architecture to enable this transition. This transition has significantly improved network efficiency, performance, and robustness. However, this has also made the core network more vulnerable, as software systems are generally easier to compromise than hardware systems. This article presents a comprehensive security analysis framework for the 5GCN. The novelty of this approach lies in the creation and analysis of attack graphs of the software-defined and virtualized 5GCN through machine learning. This analysis points to 119 novel possible exploits in the 5GCN. We demonstrate that these potential exploits of 5GCN vulnerabilities generate five novel attacks on the 5G Authentication and Key Agreement protocol. We combine the attacks at the network, protocol, and application layers to generate complex attack vectors. In a case study, we use these attack vectors to find four novel security loopholes in WhatsApp running on a 5G network.",,10.1109/TETC.2022.3147192,"5G mobile communication , Security , Protocols , Computer architecture , Internet telephony , Freeware , Control systems ",,,,,,,,,,
159,Deep Learning for Fast and Reliable Initial Access in AI-Driven 6G mm Wave Networks,"Tarun S. Cousik , Vijay K. Shah , Tugba Erpek , Yalin E. Sagduyu , Jeffrey H. Reed ",IEEE Transactions on Network Science and Engineering,2334-329X,PP,99,,2022,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9869317,"We present DeepIA, a deep neural network (DNN) framework for fast and reliable initial access (IA) for artificial intelligence (AI)-driven 6G millimeter wave (mmWave) networks. DeepIA reduces the beam sweep time compared to a conventional exhaustive search-based IA process by utilizing only a subset of the available beams. DeepIA maps received signal strengths (RSSs) obtained from a subset of beams to the beam that is best oriented to the receiver. In both line of sight (LoS) and non-line of sight (NLoS) conditions, DeepIA reduces the IA time and outperforms the conventional IA&#x0027;s beam prediction accuracy. We show that DeepIA&#x0027;s accuracy saturates with the number of beams used, and also depends on the particular choice of the beams used. The choice of beams that are selected is consequential and improves accuracy by upto upto <inline-formula><tex-math notation=""LaTeX"">$35\%$</tex-math></inline-formula> and <inline-formula><tex-math notation=""LaTeX"">$70\%$</tex-math></inline-formula> in NLoS and LoS channels. We find that, averaging multiple RSS snapshots further reduces the number of beams needed and achieves more than <inline-formula><tex-math notation=""LaTeX"">$95\%$</tex-math></inline-formula> accuracy in both LoS and NLoS conditions. We introduce interference into our models to understand impact on performance. Finally, we evaluate the beam prediction time of DeepIA through embedded hardware implementation and show the improvement over the baseline approach.",,10.1109/TNSE.2022.3201748,"Receivers , 6G mobile communication , Millimeter wave communication , 5G mobile communication , Transmitters , Antenna measurements , Time measurement ",,,,,,,,,,
160,Blockchain management and machine learning adaptation for IoT environment in 5G and beyond networks: A systematic review,"Miglani, Arzoo and Kumar, Neeraj",Computer Communications,0140-3664,178,,37-63,2021,,https://www.sciencedirect.com/science/article/pii/S0140366421002632,"Keeping in view of the constraints and challenges with respect to big data analytics along with security and privacy preservation for 5G and B5G applications, the integration of machine learning and blockchain, two of the most promising technologies of the modern era is inevitable. In comparison to the traditional centralized techniques for security and privacy preservation, blockchain uses decentralized consensus algorithms for verification and validation of different transactions which are supposed to become an integral part of blockchain network. Starting with the existing literature survey, we introduce the basic concepts of blockchain and machine learning in this article. Then, we presented a comprehensive taxonomy for integration of blockchain and machine learning in an IoT environment. We also explored federated learning, reinforcement learning, deep learning algorithms usage in blockchain based applications. Finally, we provide recommendations for future use cases of these emerging technologies in 5G and B5G technologies.",,https://doi.org/10.1016/j.comcom.2021.07.009,"Blockchain , Machine learning , Federated learning , Internet of things , Deep learning , 5G , 6G ,   ,  ",,,,,,,,,,
161,Enabling Machine Learning with Service Function Chaining for Security Enhancement at 5G Edges,"Bohao Feng , Huachun Zhou , Guanglei Li , Yuming Zhang , Keshav Sood , Shui Yu ",IEEE Network,1558-156X,35,5,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9537924,"With massive sorts of terminals, devices, and machines connecting to 5G, a tremendous surge of data makes cyber-security a pressing issue, and conventional countermeasures are facing unprecedented challenges. Recently, with the rise of ML (Machine Learning) and SDN/NFV-based (Software-Defined Networks/Network Functions Virtualization) SFC (Service Function Chaining) techniques, how to leverage them for security enhancement in MEC (Multi-access/Mobile Edge Computing) has received much attention. Hence, in this article, we first propose an elastic framework to integrate ML with virtualized SFC, aiming at smart and efficient provision of different services at MEC. Then, we propose an ML-based anomaly detection algorithm used as a kind of service policy for SFC classifiers, which guides the latter for quick traffic classification and subsequent redirections of attack flows. Finally, we build a corresponding prototype system and evaluate the performance of the proposed algorithm through extensive experiments. Related results have confirmed the feasibility and advantages of the proposed framework and algorithm.",,10.1109/MNET.100.2000338,"Feature extraction , Security , Machine learning , Classification algorithms , Quality of service , Anomaly detection , Training data , 5G mobile communication ",,,,,,,,,,
162,Machine Learning Protocol for Secure 5G Handovers,"Nyangaresi, Vincent Omollo and Rodrigues, Anthony Joachim and Abeka, Silvance Onyango",International Journal of Wireless Information Networks,1572-8129,29,1,14-35,2022,,https://doi.org/10.1007/s10776-021-00547-2,"The fifth generation (5G) networks are characterized with ultra-dense deployment of base stations with limited footprint. Consequently, user equipment’s handover frequently as they move within 5G networks. In addition, 5G requirements of ultra-low latencies imply that handovers should be executed swiftly to minimize service disruptions. To preserve security and privacy while at the same time maintaining optimal performance during handovers, numerous schemes have been developed. However, majority of these techniques are either limited to security and privacy or address only performance aspect of the handover mechanism. As such, there is need for a novel handover authentication protocol that addresses security, privacy and performance simultaneously. This paper presents a machine learning protocol that not only facilitates optimal selection of target cell but also upholds both security and privacy during handovers. Formal security analysis using the widely adopted Burrows–Abadi–Needham (BAN) logic shows that the proposed protocol achieves all the six formulated under this proof. As such, the proposed protocol facilitates strong and secure mutual authentication among the communicating entities before generating the shares session key. The derived session key protected the exchanged packets to avert attacks such as forgery. In addition, informal security evaluation of the proposed protocol shows that it offers perfect forward key secrecy, mutual authentication any user anonymity. It is also demonstrated to be robust against attacks such as denial of service (DoS), man-in-the-middle (MitM), masquerade, packet replays and forgery. In terms of performance, simulation results shows that it has lower packets drop rate and ping–pong rate, with higher ratio of packets received compared with improved 5G authentication and key agreement (5G AKA’) protocol. Specifically, using 5G AKA’ as the basis, the proposed protocol reduces the handover rate by 94.4%, hence the resulting handover signaling is greatly minimized.",,10.1007/s10776-021-00547-2,"5G , ANN , Authentication , Handovers , Privacy , Security , Learning ,   ,  ",,,,,,,,,,
