,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
127,Fast initial access with deep learning for beam prediction in 5G mmWave networks,"TS Cousik, VK Shah, JH Reed, T Erpek, ...",MILCOM 2021 - 2021 IEEE Military Communications Conference (MILCOM),2155-7578,,,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9653011/?casa_token=eISwKGqLfrcAAAAA:SNp6ug2nOycH8BlU1HxPnC7cT7D9W3zl-CSWjjJJSq7-jC6neo_RcrCesRr1UBxRFGg5weUSysfJNA,"We present DeepIA, a deep learning solution for a fast, reliable and secure initial access (IA) in directional networks such as the mmWave networks in 5G systems. By utilizing only a subset of beams during the IA process, DeepIA removes the need for an exhaustive beam search thereby reducing the beam sweep time in IA. A deep neural network (DNN) is trained to learn the complex mapping from the received signal strengths (RSSs) collected with a reduced number of beams to the optimal spatial beam of the receiver (among a larger set of beams). In test time, DeepIA measures the RSSs only from a small number of beams and runs the DNN to predict the best beam for IA. We show that DeepIA reduces the IA time by sweeping fewer beams and significantly outperforms the conventional IA&#x0027;s beam prediction accuracy in both line of sight (LoS) and non-line of sight (NLoS) mmWave channel conditions.",,10.1109/MILCOM52596.2021.9653011,"Deep learning , Military communication , 5G mobile communication , Simulation , Conferences , Neural networks , Receivers "
128,Usage of network simulators in machine-learning-assisted 5G/6G networks,"F Wilhelmi, M Carrascosa, C Cano, ...",IEEE Wireless Communications,1558-0687,28,1,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9363049/?casa_token=fRT8wF6vVsUAAAAA:WVwo4N6rOJIonpp9nm9XMfRGD1-yw6xVRy4RFxsfYkFTkTJlu8Y60NLR-I9xpA-bIpnRBOBbDpqBBw,"Without any doubt, Machine Learning (ML) will be an important driver of future communications due to its foreseen performance when applied to complex problems. However, the application of ML to networking systems raises concerns among network operators and other stakeholders, especially regarding trustworthiness and reliability. In this article, we devise the role of network simulators for bridging the gap between ML and communications systems. In particular, we present an architectural integration of simulators in ML-aware networks for training, testing, and validating ML models before being applied to the operative network. Moreover, we provide insights into the main challenges resulting from this integration, and then give hints discussing how they can be overcome. Finally, we illustrate the integration of network simulators into ML-assisted communications through a proof-of-concept testbed implementation of a residential WiFi network.",,10.1109/MWC.001.2000206,"Training data , Communication systems , Machine learning , Stakeholders , Reliability , Wireless fidelity , 5G mobile communication , 6G mobile communication "
129,Towards 6G IoT: tracing mobile sensor nodes with deep learning clustering in UAV networks,"Y Spyridis, T Lagkas, P Sarigiannidis, V Argyriou, ...",Sensors,,,,,2021,mdpi.com,https://www.mdpi.com/1141088,"… services in the context of the upcoming 6G networks. This paper considered the objective of … A deep learning model performed clustering in the UAV network at regular intervals, based …",,,
130,Deep learning modalities for biometric alteration detection in 5G networks-based secure smart cities,"A Sedik, M Hammad, AA Abd El-Latif, ...",IEEE Access,2169-3536,9,,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9450808/,"Smart cities and their applications have become attractive research fields birthing numerous technologies. Fifth generation (5G) networks are important components of smart cities, where intelligent access control is deployed for identity authentication, online banking, and cyber security. To assure secure transactions and to protect user's identities against cybersecurity threats, strong authentication techniques should be used. The prevalence of biometrics, such as fingerprints, in authentication and identification makes the need to safeguard them important across different areas of smart applications. Our study presents a system to detect alterations to biometric modalities to discriminate pristine, adulterated, and fake biometrics in 5G-based smart cities. Specifically, we use deep learning models based on convolutional neural networks (CNN) and a hybrid model that combines CNN with convolutional long-short term memory (ConvLSTM) to compute a three-tier probability that a biometric has been tempered. Simulation-based experiments indicate that the alteration detection accuracy matches those recorded in advanced methods with superior performance in terms of detecting central rotation alteration to fingerprints. This makes the proposed system a veritable solution for different biometric authentication applications in secure smart cities.",,10.1109/ACCESS.2021.3088341,"Biometrics (access control) , Feature extraction , Authentication , Iris recognition , Fingerprint recognition , Smart cities , Veins "
131,Testbed for 5G connected artificial intelligence on virtualized networks,"CV Nahum, LDNM Pinto, VB Tavares, P Batista, ...",IEEE Access,2169-3536,8,,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9290141/,"The fifth-generation (5G) cellular networks incorporate a large variety of technologies in order to address very distinct use cases. Assessing these technologies and investigating future alternatives is complicated when one relies only on simulators. 5G testbeds are an important alternative to simulators and many have been recently described, emphasizing aspects such as cloud functionalities, management and orchestration. This work presents a 5G mobile network testbed with a virtualized and orchestrated structure using containers, which focuses on integration to artificial intelligence (AI) applications. The presented testbed uses open-source technologies to deploy and orchestrate the virtual network functions (VNFs) to flexibly create various mobile network scenarios, with distinct fronthaul and backhaul topologies. Distinctive features of the testbed are its relatively low cost and the support to using AI for optimizing the network performance. The paper explains how to deploy the testbed structure and reproduce the presented results with the provided code. AI-based radio access network (RAN) slicing and VNF placement are used as examples of the testbed capabilities.",,10.1109/ACCESS.2020.3043876,"5G mobile communication , Network topology , Containers , Topology , Artificial intelligence , Open source software , Radio access networks "
132,5G positioning-a machine learning approach,"M Malmström, I Skog, SM Razavi, ...","2019 16th Workshop on Positioning, Navigation and Communications (WPNC)",2164-9758,,,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8970186/,"In urban environments, cellular network-based positioning of user equipment (ue) is a challenging task, especially in frequently occurring non-line-of-sight (nlos) conditions. This paper investigates the use of two machine learning methods - neural networks and random forests - to estimate the position of ue in nlos using best received reference signal beam power measurements. We evaluated the suggested positioning methods using data collected from a fifth-generation cellular network (5g) testbed provided by Ericsson. A statistical test to detect nlos conditions with a probability of detection that is close to 90% is suggested. We show that knowledge of the antenna are crucial for accurate position estimation. In addition, our results show that even with a limited set of training data and one 5g transmission point, it is possible to position ue within 10 meters with 80% accuracy.",,10.1109/WPNC47567.2019.8970186,
133,Integrating artificial intelligence Internet of Things and 5G for next-generation smartgrid: A survey of trends challenges and prospect,"E Esenogho, K Djouani, AM Kurien",IEEE Access,2169-3536,10,,,2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9672084/,"Smartgrid is a paradigm that was introduced into the conventional electricity network to enhance the way generation, transmission, and distribution networks interrelate. It involves the use of Information and Communication Technology (ICT) and other solution in fault and intrusion detection, mere monitoring of energy generation, transmission, and distribution. However, on one hand, the actual and earlier smartgrid, do not integrate more advanced features such as automatic decision making, security, scalability, self-healing and awareness, real-time monitoring, cross-layer compatibility, etc. On the other hand, the emergence of the digitalization of the communication infrastructure to support the economic sector which among them are energy generation and distribution grid with Artificial Intelligence (AI) and large-scale Machine to Machine (M2M) communication. With the future Massive Internet of Things (MIoT) as one of the pillars of 5G/6G network factory, it is the enabler to support the next generation smart grid by providing the needed platform that integrates, in addition to the communication infrastructure, the AI and IoT support, providing a multitenant system. This paper aim at presenting a comprehensive review of next smart grid research trends and technological background, discuss a futuristic next-generation smart grid driven by artificial intelligence (AI) and leverage by IoT and 5G. In addition, it discusses the challenges of next-generation smart-grids as it relate to the integration of AI, IoT and 5G for better smart grid architecture. Also, proffers possible solutions to some of the challenges and standards to support this novel trend. A corresponding future work will dwell on the implementation of the discussed integration of AI, IoT and 5G for next-generation smart grid, using Matlab, NS2/NS3, Open-daylight and Mininet as soft tools and compare with related literature.",,10.1109/ACCESS.2022.3140595,"Smart grids , Artificial intelligence , Next generation networking , 5G mobile communication , Internet of Things , Distribution networks , Market research "
134,Machine learning approach for automatic configuration and management of 5g platforms,"TA Khan, A Mehmood, JJD Rivera, ...",2019 20th Asia-Pacific Network Operations and Management Symposium (APNOMS),2576-8565,,,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8893119/?casa_token=bCApCmzQcUAAAAAA:qvmbW2o17Ag61PCrv-s0dl9HTjtoshPBwUJc-lGvqrlt0ymsGDoDo6vkAOAwJVvd4h5Vy1B9ve7KFA,"The automatic control over the network platforms is an esteem requirement of the operators. Recently, 5G with its aim to attain the internet of everything, it challenged researchers for the achievement of automatic control over the network platform. Furthermore, the 5G system consists of multi-domain network applications and platforms which make it complex to control and configure the network. Hence, the focus of this research is to enable easy configuration through high-level instructions and the use of machine learning for automatic control over the network infrastructure. The overall system consists of Intent-Base application that includes a machine learning model and it configures and controls the M-CORD-based network slicing test-bed.",,10.23919/APNOMS.2019.8893119,
135,Examining machine learning for 5G and beyond through an adversarial lens,"M Usama, I Ilahi, J Qadir, RN Mitra, ...",IEEE Internet Computing,1941-0131,25,2,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9314254/?casa_token=S6XUmOrhNt0AAAAA:_hcyRmPFRBR3FDZMja3jc8DYZnrgA8SmDleOxg8UalP05s-tck7XI9kmipYTqeIuE6cTEF8f9UsyMw,"Spurred by the recent advances in deep learning to harness rich information hidden in large volumes of data and to tackle problems that are hard to model/solve (e.g., resource allocation problems), there is currently tremendous excitement in the mobile networks domain around the transformative potential of data-driven artificial intelligence/machine learning (AI/ML) based network automation, control and analytics for 5G and beyond. In this article, we present a cautionary perspective on the use of AI/ML in the 5G context by highlighting the adversarial dimension spanning multiple types of ML (supervised/unsupervised/reinforcement learning) and support this through three case studies. We also discuss approaches to mitigate this adversarial ML risk, offer guidelines for evaluating the robustness of ML models, and call attention to issues surrounding ML oriented research in 5G more generally.",,10.1109/MIC.2021.3049190,"5G mobile communication , Modulation , Computational modeling , Security , Context modeling , Cloud computing , Signal to noise ratio , Resource management , Learning (artificial intelligence) , Analytical models , Deep learning "
136,A deep learning method for predictive channel assignment in beyond 5G networks,"S Sakib, T Tazrin, MM Fouda, ZM Fadlullah, ...",IEEE Network,1558-156X,35,1,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9237456/?casa_token=_oAeT37k1PEAAAAA:AsoQad2da6IkONgyD-juG9si8w1cYz1uyIOkfTVGI3wkFnnKpTJNSLYY0O3R0Ry42jQPZTmBfWeblQ,"In Beyond Fifth Generation (B5G) networks, Internet of Things (IoT) and massive Machine Type Communication (mMTC) traffic are anticipated to be offloaded by multi-hop, Device-to-Device (D2D)-enabled relay networks. The relays offer an energy and spectral-efficient solution to the rising problem of spectrum scarcity and overloading of cellular base stations. Moving beyond the conventional paradigm of the relay nodes employing channels on a specific band at a time, in this article, we aim to investigate how to simultaneously leverage multiple bands at a relay node to improve spectral efficiency. We address the challenge associated with dynamic channel conditions in the multi-band relay networks, and envision a deep learning-based predictive channel selection method to solve the problem. A 1-D (one-dimensional) Convolutional Neural Network (CNN) model is employed to predict the suitable channels across multiple bands with the best Signal-to-Interference-plus-Noise Ratio (SINR). The packets received from the source or previous relay node are scheduled to be transmitted to subsequent relay node/destination based on the best modulation and coding rates to transmit over the predicted band. Our envisioned approach, based on shallow and deep-CNN models, proposes two proactive channel assignment strategies, namely controlled and smart prediction. Our proposal is evaluated with several, comparable machine/deep learning methods. Experimental results, based on datasets, demonstrate encouraging performance of our proposed lightweight deep learning-based proactive channel selection in multi-band relay systems.",,10.1109/MNET.011.2000301,"Predictive models , Deep learning , Channel allocation , Data models , Signal to noise ratio , Relay networks (telecommunication) "
137,On recommendation-aware content caching for 6G: An artificial intelligence and optimization empowered paradigm,"Y Fu, KN Doan, TQS Quek",Digital Communications and Networks,,,,,2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S2352864820301802,… of Artificial Intelligence (AI) and optimization techniques can be harnessed to address those core issues and facilitate the full implementation of RCC for the upcoming intelligent 6G era. …,,,
138,Deep learning based modulation classification for 5G and beyond wireless systems,"JC Clement, N Indira, P Vijayakumar, ...",Peer-to-peer networking …,,,,,2021,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12083-020-01003-3&casa_token=nxQkgIPnBQ4AAAAA:8_d8jRmBjh0zArOCQMBEIXf97ra7AlD0XkPn3gCNxcfSKGeSBrfU_b1klXp4WFU8jf8JODjHzDDI58gC1A,"The 5G and beyond wireless networks will be more dynamic and heterogeneous, which needs to work on multistrand waveforms. One of the most significant challenges in such a …",,,
139,"GPU-based, LDPC decoding for 5G and beyond","C Tarver, M Tonnemacher, H Chen, ...",2020 IEEE International Symposium on Circuits and Systems (ISCAS),2158-1525,,,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9336349/,"Next-generation virtual radio access networks (vRAN) will benefit from the flexibility provided by virtualization in proposed Cloud-RAN configurations. These systems for 5G and beyond may consist of commodity hardware such as GPUs in data centers with multiple connected base stations (gNBs) flexibly receiving allocated resources depending on time-varying, real-time demands. In this paper, parallel reconfigurable algorithms and architectures for channel decoding are proposed. In particular, flexible rate and block length LDPC decoders for the new radio (NR) physical layer on GPU are characterized. We implement these GPU decoders using reduced word lengths of 8-bits to represent the log-likelihood ratios during decoding, and we utilize multiple GPU streams to process multiple blocks of codewords in parallel. These techniques allow our implementation to reduce the device transfer overhead and achieve the low-latency or high-throughput targets for 5G and beyond. Moreover, we integrate our decoder into the Open Air Interface (OAI) NR software stack to investigate virtualization capabilities when containerizing vRAN functionality such as the LDPC decoder.",,10.1109/ISCAS45731.2020.9181064,"Parity check codes , 5G mobile communication , Graphics processing units , Decoding , Throughput , Kernel "
140,Radar aided 6G beam prediction: Deep learning algorithms and real-world demonstration,"U Demirhan, A Alkhateeb",2022 IEEE Wireless Communications and Networking Conference (WCNC),1525-3511,,,,2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9771564/?casa_token=10cPkPNYrygAAAAA:mwldwtWZupbJAah1ag0zN0uLO89vMluJnE6C_GzlW4OKAfplWP1tmAdNoIkc-yohUkTuHF9f8sHZGw,"Adjusting the narrow beams at millimeter wave (mmWave) and terahertz (THz) MIMO communication systems is associated with high beam training overhead, which makes it hard for these systems to support highly-mobile applications. This overhead can potentially be reduced or eliminated if sufficient awareness about the transmitter/receiver locations and the surrounding environment is available. In this paper, efficient deep learning solutions that leverage radar sensory data are developed to guide the mmWave beam prediction and significantly reduce the beam training overhead. Our solutions integrate radar signal processing approaches to extract the relevant features for the learning models, and hence optimize their complexity and inference time. The proposed machine learning based radar-aided beam prediction solutions are evaluated using a large-scale real-world mmWave radar/communication dataset and their capabilities were demonstrated in a realistic vehicular communication scenario. In addition to completely eliminating the radar/communication calibration overhead, the proposed algorithms are able to achieve around 90% top-5 beam prediction accuracy while saving 93% of the beam training overhead. This highlights a promising direction for addressing the training overhead challenge in mmWave/THz communication systems.",,10.1109/WCNC51071.2022.9771564,"Training , Deep learning , Machine learning algorithms , Signal processing algorithms , Millimeter wave radar , Prediction algorithms , Feature extraction "
141,Survey on artificial intelligence techniques in 5G networks,"A Abdellah, A Koucheryavy",J. Inf. Technol. Telecommun …,,,,,2020,researchgate.net,https://www.researchgate.net/profile/Ali-Refaee/publication/342174425_SURVEY_ON_ARTIFICIAL_INTELLIGENCE_TECHNIQUES_IN_5G_NETWORKS/links/5f1723eca6fdcc9626a45c3f/SURVEY-ON-ARTIFICIAL-INTELLIGENCE-TECHNIQUES-IN-5G-NETWORKS.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail,… Machine learning is ideally suitable for working in 5G networks … This is an ideal situation for 5G since it can transmit higher … Deep learning is a class of machine learning (ML) that uses …,,,
142,A machine learning approach for 5G SINR prediction,"R Ullah, SNK Marwat, AM Ahmad, S Ahmed, A Hafeez, ...",Electronics,,,,,2020,mdpi.com,https://www.mdpi.com/853142,Artificial Intelligence (AI) and Machine Learning (ML) are envisaged to play key roles in 5G networks. Efficient radio resource management is of paramount importance for network …,,,
143,Micro-safe: Microservices-and deep learning-based safety-as-a-service architecture for 6G-enabled intelligent transportation system,"C Roy, R Saha, S Misra, K Dev",IEEE Transactions on Intelligent Transportation Systems,1558-0016,23,7,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9548710/?casa_token=ssCPtoEMI7YAAAAA:kWtkP9MvaM9Pu7ld5ew30PvE7EUBbXqAUYOQeb6KdXtjgB_4jVvZ6je9s6IteD7_WbvNQROlQt5ePw,"In this paper, we propose a microservices and deep learning-based scheme, termed as Micro-Safe, for provisioning Safety-as-a-Service (Safe-aaS) in a 6G environment. A Safe-aaS infrastructure provides customized safety-related decisions dynamically to the registered end-users. As the decisions are time-sensitive in nature, the generation of these decisions should incur minimum latency and high accuracy. Further, scalability and extension of the coverage of the entire Safe-aaS platform are also necessary. Considering road transportation as the application scenario, we propose Safe-aaS, which is a microservices- and deep learning-based platform for provisioning ultra-low latency safety services to the end-users in a 6G scenario. We design the proposed solution in two stages. In the first stage, we develop the microservices-enabled application layer to improve the scalability and adaptability of the traditional Safe-aaS platform. Moreover, we apply the state space model to represent the decision parameters requested and the decision delivered to the end-users. During the second stage, we use deep learning models to improve the accuracy in the decisions delivered to the end-users. Additionally, we apply an assortment of activation functions to analyze and compare the accuracy of the decisions generated in the proposed scheme. Extensive simulation of our proposed scheme, Micro-Safe, demonstrates that latency is improved by 26.1 – 31.2%, energy consumption is reduced by 22.1 – 29.9%, throughput is increased by 26.1 – 31.7%, compared to the existing schemes.",,10.1109/TITS.2021.3110725,"6G mobile communication , Safety , Deep learning , Scalability , Delays , Cloud computing , Throughput "
144,Reconfigurable architecture of UFMC transmitter for 5G and its FPGA prototype,"V Kumar, M Mukherjee, J Lloret",IEEE Systems Journal,2373-7816,14,1,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8771165/?casa_token=eNifPzXl2d4AAAAA:EXz2wrV6DqAEGjMkQPsvrDnFZfqio4-GWTsjqtcqHV7-GB3424lVfZ1TlAhJGLWuYfZbeKZnmo53Iw,"A universal-filtered multicarrier (UFMC) system that is a generalization of filtered orthogonal frequency-division multiplexing (OFDM) and filter-bank-based multicarrier is being considered as a potential candidate for fifth-generation due to its robustness against intercarrier interference as in cyclic-prefix-based OFDM systems. However, real-time hardware realization of multicarrier systems is limited by a large number of arithmetic units for inverse fast Fourier transform and pulse-shaping filters. In this paper, we aim to propose a low-complexity and reconfigurable architecture for a baseband UFMC transmitter. To the best of our knowledge, the proposed architecture is the first reconfigurable architecture that has the flexibility to choose the number of subcarriers in a subband without any change in hardware resources. In addition, the proposed architecture selects the filter from a group of filters with a single selection line. Moreover, we use a commercially available field-programmable gate array device for real-time testing and analyzing the baseband UFMC signal. From the extensive experiments, we study the occupied bandwidth, main-lobe power, and sidelobe power of the baseband signal with different filters in real-time scenarios. Finally, we measure the quantization error in baseband signal generation for the proposed UFMC transmitter architecture and find comparable with the error bound.",,10.1109/JSYST.2019.2923549,"Transmitters , Baseband , Computer architecture , Real-time systems , 5G mobile communication , Field programmable gate arrays , Hardware "
145,vFPGAmanager: A virtualization framework for orchestrated FPGA accelerator sharing in 5G cloud environments,"S Pinneterre, S Chiotakis, M Paolino, ...",2018 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),2155-5052,,,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8436930/?casa_token=MjBEWpEBxNIAAAAA:HM342bU7WNVXGmiqBT33ThVrItkOqUYyOxFrJqLXbO48hBeixM7MXFjlINLv33cA9OyI2DS-7_Xukg,"Network operators are actively pushing towards the new 5G era and a crucial part to accomplish this is the Network Functions Virtualization (NFV). FPGAs and their hardware accelerators are a promising solution for NFV and 5G cloud environments because of their fast turnaround time and great speedup potential through application parallelism mapping on the reconfigurable fabric. Recently, consolidation reached a plateau in this field with lightweight virtualization techniques, that require a high overcommitment of FPGA accelerator resources to cope with numerous demands of guests. Although FPGAs can play an important role for the future 5G networks their capability to manage and control them from the upper layers of the software stack is inadequate. The lack of such support coupled with cloud integration and programmability issues can repel potential providers from utilizing FPGAs at their data centers. This paper presents the communication mechanism of the vFPGAmanager, an FPGA virtualization framework which can be orchestrated, monitored and enables accelerators overcommitment with direct guest access. These are key features to allow potential adopters of FPGA technology to include them in the next generation of NFV systems. The communication mechanism architecture is detailed and then benchmarked to show that even under heavy load on the system it demonstrates a minimal overhead to orchestrate and monitor the FPGA as a resource.",,10.1109/BMSB.2018.8436930,"Field programmable gate arrays , Virtualization , Context , Cloud computing , Registers , Acceleration "
146,A waveform parameter assignment framework for 6G with the role of machine learning,"A Yazar, H Arslan",IEEE Open Journal of Vehicular Technology,2644-1330,1,,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9086145/,"5G enables a wide variety of wireless communications applications and use cases. There are different requirements associated with the applications, use cases, channel structure, network and user. To meet all of the requirements, several new configurable parameters are defined in 5G New Radio (NR). It is possible that 6G will have even higher number of configurable parameters based on new potential conditions. In line with this trend, configurable waveform parameters are also varied and this variation will increase in 6G considering the potential future necessities. In this paper, association of users and possible configurable waveform parameters in a cell is discussed for 6G communication systems. An assignment framework of configurable waveform parameters with different types of resource allocation optimization mechanisms is proposed. Most of all, the role and usage of machine learning (ML) in this framework is described. A case study with a simulation based dataset generation methodology is also presented.",,10.1109/OJVT.2020.2992502,"6G mobile communication , 5G mobile communication , Optimization , Resource management , Machine learning , Lattices "
147,5G joint artificial intelligence technology in the innovation and reform of university English education,X Sun,Wireless Communications and Mobile Computing,,,,,2021,hindawi.com,https://www.hindawi.com/journals/wcmc/2021/4892064/,"… This paper considers the issue of human subjectivity in the system of “5G + AI+Education” … of artificial intelligence, and a philosophical reflection on the application of artificial intelligence …",,,
148,An FPGA-oriented baseband modulator architecture for 4G/5G communication scenarios,"M Lopes Ferreira, J Canas Ferreira",Electronics,,,,,2018,mdpi.com,https://www.mdpi.com/384148,"… This work proposes an FPGA-oriented architecture for baseband downlink transmission suitable for DSA, C-RAN, and 4G/5G coexistence scenarios. The architecture supports three 5G …",,,
149,Architecture of FPGA based channel coding for 5G wireless network using high-level synthesis,MV Khoroshaylova,Bulletin of Voronezh State Technical University …,,,,,2018,,,,,,
150,"Machine learning for 5G security: Architecture, recent advances, and challenges","A Afaq, N Haider, MZ Baig, KS Khan, M Imran, I Razzak",Ad Hoc Networks,,,,,2021,Elsevier,https://www.sciencedirect.com/science/article/pii/S1570870521001785?casa_token=-RcgQLJ2XCsAAAAA:Vw5vCCQpPyYaHjkLeMgGSWCDPHGoaHgKajbqa_iIrzY781574ARJgtdVfKttcddu9-778sLVDxI,"… We also present discussions on the feasibility of different ML techniques to tackle threats at different points of 5G networks. In the context of 5G network security and machine learning, …",,,
151,Machine Learning for Intelligent-Reflecting-Surface-Based Wireless Communication towards 6G: A Review,"MAS Sejan, MH Rahman, BS Shin, JH Oh, YH You, ...",Sensors,,,,,2022,mdpi.com,https://www.mdpi.com/1424-8220/22/14/5405,"… for the sixth generation (6G) of communication networks. In addition, machine learning (ML) … -of-the-art on ML, especially on deep learning (DL)-based IRS-enhanced communication. …",,,
152,Security concerns on machine learning solutions for 6G networks in mmWave beam prediction,"FO Catak, M Kuzlu, E Catak, U Cali, D Unal",Physical Communication,,,,,2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S1874490722000155,"… with lower latency than the 5G network, ie, approximately 1 … cases of 6G are still under definition, it is clear that 6G will be … difference of 6G technology is the use of artificial intelligence (…",,,
153,A programmable and fpga-accelerated gtp offloading engine for mobile edge computing in 5g networks,"CA Shen, DY Lee, CA Ku, MW Lin, ...",IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8845143/?casa_token=Ow4M_LW5bNYAAAAA:NnbyuojYj_ZvqdzzfdwTkqqey_tfLVtBsC3rrVIYfWItVVoaZb8AdMnHH8tBnYtHIp6UruRglgXChw,"This poster presents a programmable and FPGA-accelerated packet processing engine, performing the encapsulation and decapsulation of GPRS Tunneling Protocol (GTP) packets, for Mobile Edge Computing in 5G Networks. The proposed engine is designed by using the P4 language and is implemented to the FPGA platform by using the Xilinx SDNet tool. The implemented system is practically realized on the Xilinx FPGA platform and the detailed architecture is presented. The experimental results show that targeted throughput of 10Gbps per port is achieved given the packet-processing latency of 5μs.",,10.1109/INFCOMW.2019.8845143,
154,Efficient and reliable hybrid deep learning-enabled model for congestion control in 5G/6G networks,"S Khan, A Hussain, S Nazir, F Khan, A Oad, ...",Computer …,,,,,2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140366421004217?casa_token=tC09Bq6L1yUAAAAA:KohntWt_eav2xNdt0CxHgagVlI8hJdd8md7Bih-wpCO8zV6bM8UGgqtJTe1gCnVvo6ZLHFwQxkg,"… Artificial intelligence (AI) and machine learning (ML) are playing an essential role in reconfiguring and optimizing the performance of a 5G/6G … , a hybrid deep learning-enabled efficient …",,,
155,Deep learning-driven opportunistic spectrum access (OSA) framework for cognitive 5G and beyond 5G (B5G) networks,"R Ahmed, Y Chen, B Hassan",Ad Hoc Networks,,,,,2021,Elsevier,https://www.sciencedirect.com/science/article/pii/S1570870521001529?casa_token=_omRI6p0mrcAAAAA:TwSTOwz-FkuEkNfDJLh5nB99JtVV_RLPwMkx7MBqHq-aMyay-vzpbnqlPCN9S9AMhgGr9XYzS6I,… to dynamically optimize the use of spectrum in 5G/B5G networks to solve the imminent … in the 5G/B5G cognitive radio (CR) network of IoTs and UAVs through the novel deep learning-…,,,
156,Intrusion detection system on IoT with 5G network using deep learning,"N Yadav, S Pande, A Khamparia, ...",… and Mobile Computing,,,,,2022,hindawi.com,https://www.hindawi.com/journals/wcmc/2022/9304689/,"… 5G network [6]. To satisfy customer demands and resolve conflicts in the 5G environment, a fundamental change in the 5G … are efficiently detected by 5G networks and cyberattacks that …",,,
157,Authentication and resource allocation strategies during handoff for 5G IoVs using deep learning,"SR Akhila, Y Alotaibi, OI Khalaf, S Alghamdi",Energies,,,,,2022,mdpi.com,https://www.mdpi.com/1996-1073/15/6/2006,"… Though 5G is yet to be deployed widely, it appears that 5G stands to … 5G is expected to power the future of people’s mobility … collection makes IoV one of the attractive applications of 5G. …",,,
158,Machine learning assisted security analysis of 5g-network-connected systems,"T Saha, N Aaraj, NK Jha",IEEE Transactions on Emerging Topics in Computing,2376-4562,10,4,,2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/document/9701880/?casa_token=bnTiWPPuheYAAAAA:MDQoQbNuBjBcIGfVm19Z--5CIV6iCjneZDYdBS3PXiKQtJZ9haORQQDxuAFQRIuJSkEv9CBZyMIx0w,"The core network architecture of telecommunication systems has undergone a paradigm shift in the fifth-generation (5G) networks. 5G networks have transitioned to software-defined infrastructures, thereby reducing their dependence on hardware-based network functions. New technologies, like network function virtualization and software-defined networking, have been incorporated in the 5G core network (5GCN) architecture to enable this transition. This transition has significantly improved network efficiency, performance, and robustness. However, this has also made the core network more vulnerable, as software systems are generally easier to compromise than hardware systems. This article presents a comprehensive security analysis framework for the 5GCN. The novelty of this approach lies in the creation and analysis of attack graphs of the software-defined and virtualized 5GCN through machine learning. This analysis points to 119 novel possible exploits in the 5GCN. We demonstrate that these potential exploits of 5GCN vulnerabilities generate five novel attacks on the 5G Authentication and Key Agreement protocol. We combine the attacks at the network, protocol, and application layers to generate complex attack vectors. In a case study, we use these attack vectors to find four novel security loopholes in WhatsApp running on a 5G network.",,10.1109/TETC.2022.3147192,"5G mobile communication , Security , Protocols , Computer architecture , Internet telephony , Freeware , Control systems "
